customer_id,product,category,quantity,unit_price,order_date,region,payment_method,total_cost,order_year,order_month,order_quarter,order_day_of_week,is_weekend,days_since_epoch,customer_transaction_number,is_quantity_outlier,is_price_outlier,is_extreme_outlier,price_tier,order_size_category,revenue_tier,customer_type,season,product_group
CUST_10003,Textbook,Books,1,46.73,6/27/2024,Latin America,Cash,46.73,2024,6,2,Thursday,FALSE,543,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10023,Perfume,Health & Beauty,1,92.71,9/10/2024,Europe,Bank Transfer,92.71,2024,9,3,Tuesday,FALSE,618,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Fall,Fashion & Beauty
CUST_10059,Printer Paper,Office Supplies,1,23.91,11/15/2024,Asia Pacific,Credit Card,23.91,2024,11,4,Friday,FALSE,684,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Fall,Home & Office
CUST_10073,Self-Help Book,Books,1,39.41,12/14/2023,Europe,Debit Card,39.41,2023,12,4,Thursday,FALSE,347,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Winter,Lifestyle & Food
CUST_10077,Tablet,Electronics,4,286.05,4/20/2024,Asia Pacific,Credit Card,1144.2,2024,4,2,Saturday,TRUE,475,1,FALSE,FALSE,FALSE,Premium,Medium Order,Very High Value,New Customer,Spring,Technology & Auto
CUST_10078,Tablet,Electronics,3,1014.89,6/4/2025,Asia Pacific,Paypal,3044.67,2025,6,2,Wednesday,FALSE,885,1,FALSE,TRUE,TRUE,Luxury,Small Order,Very High Value,New Customer,Summer,Technology & Auto
CUST_10079,Biography,Books,1,63.09,3/14/2025,Europe,Paypal,63.09,2025,3,1,Friday,FALSE,803,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Spring,Lifestyle & Food
CUST_1009,Textbook,Books,3,48.02,5/31/2024,Latin America,Digital Wallet,144.06,2024,5,2,Friday,FALSE,516,1,FALSE,FALSE,FALSE,Budget,Small Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10102,Smartphone,Electronics,2,1014.89,9/22/2024,Latin America,Cash,2029.78,2024,9,3,Sunday,TRUE,630,1,FALSE,TRUE,TRUE,Luxury,Small Order,Very High Value,New Customer,Fall,Technology & Auto
CUST_10104,Smart Watch,Electronics,2,1014.89,3/23/2024,Latin America,Paypal,2029.78,2024,3,1,Saturday,TRUE,447,1,FALSE,TRUE,TRUE,Luxury,Small Order,Very High Value,New Customer,Spring,Technology & Auto
CUST_10111,Vitamins,Health & Beauty,3,148.36,12/6/2023,Middle East,Debit Card,445.08,2023,12,4,Wednesday,FALSE,339,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Winter,Fashion & Beauty
CUST_10121,Plant Pot,Home & Garden,2,248.13,5/10/2024,Middle East,Debit Card,496.26,2024,5,2,Friday,FALSE,495,1,FALSE,FALSE,FALSE,Premium,Small Order,Medium Value,New Customer,Spring,Home & Office
CUST_10122,Skincare Set,Health & Beauty,3,37.37,6/20/2024,North America,Paypal,112.11,2024,6,2,Thursday,FALSE,536,1,FALSE,FALSE,FALSE,Budget,Small Order,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_10149,Running Shoes,Sports & Outdoors,5,156.87,10/7/2024,Europe,Paypal,784.35,2024,10,4,Monday,FALSE,645,1,FALSE,FALSE,FALSE,Mid-Range,Medium Order,High Value,New Customer,Fall,Recreation & Sports
CUST_10153,Bicycle,Sports & Outdoors,2,345.78,2/8/2025,Asia Pacific,Digital Wallet,691.56,2025,2,1,Saturday,TRUE,769,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Winter,Recreation & Sports
CUST_10162,Perfume,Health & Beauty,2,24.87,10/3/2024,Asia Pacific,Bank Transfer,49.74,2024,10,4,Thursday,FALSE,641,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Fall,Fashion & Beauty
CUST_1017,Shoes,Clothing,1,211.29,9/29/2025,North America,Bank Transfer,211.29,2025,9,3,Monday,FALSE,1002,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Fall,Fashion & Beauty
CUST_10188,T-Shirt,Clothing,1,161.24,8/15/2025,Africa,Debit Card,161.24,2025,8,3,Friday,FALSE,957,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_1019,Car Accessories,Automotive,6,348.63,3/11/2025,Europe,Debit Card,2091.78,2025,3,1,Tuesday,FALSE,800,1,TRUE,FALSE,TRUE,Premium,Medium Order,Very High Value,New Customer,Spring,Technology & Auto
CUST_10192,Chocolate,Food & Beverages,1,46.68,7/7/2024,Africa,Cash,46.68,2024,7,3,Sunday,TRUE,553,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10195,Cookbook,Books,2,25.08,4/29/2025,Africa,Debit Card,50.16,2025,4,2,Tuesday,FALSE,849,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Spring,Lifestyle & Food
CUST_10222,Organic Food,Food & Beverages,3,43.8,3/22/2024,Latin America,Paypal,131.4,2024,3,1,Friday,FALSE,446,1,FALSE,FALSE,FALSE,Budget,Small Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10229,Perfume,Health & Beauty,6,18.48,3/18/2024,Middle East,Bank Transfer,110.88,2024,3,1,Monday,FALSE,442,1,FALSE,FALSE,FALSE,Budget,Medium Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10254,Shampoo,Health & Beauty,3,139.57,3/14/2025,Latin America,Paypal,418.71,2025,3,1,Friday,FALSE,803,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10258,Skincare Set,Health & Beauty,3,70.37,5/9/2024,Latin America,Paypal,211.11,2024,5,2,Thursday,FALSE,494,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10269,Hair Dryer,Health & Beauty,3,15.89,5/25/2025,Middle East,Cash,47.67,2025,5,2,Sunday,TRUE,875,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Spring,Fashion & Beauty
CUST_10276,Hat,Clothing,4,179.96,3/10/2025,North America,Digital Wallet,719.84,2025,3,1,Monday,FALSE,799,1,FALSE,FALSE,FALSE,Mid-Range,Medium Order,High Value,New Customer,Spring,Fashion & Beauty
CUST_10280,Kitchen Set,Home & Garden,4,771.69,9/18/2025,North America,Bank Transfer,3086.76,2025,9,3,Thursday,FALSE,991,1,FALSE,TRUE,FALSE,Luxury,Medium Order,Very High Value,New Customer,Fall,Home & Office
CUST_10282,Hair Dryer,Health & Beauty,5,106.4,3/3/2024,Middle East,Paypal,532,2024,3,1,Sunday,TRUE,427,1,FALSE,FALSE,FALSE,Mid-Range,Medium Order,High Value,New Customer,Spring,Fashion & Beauty
